worker_ID,asg_ID,payments,experiment_id,current_question,answer1,feedback,initial_time,begin_time
"UtSUPIdUzg","c27x8ggWyl",,,,,,1455642113031.0,
"1","2","[ 0, 0, 0, 0, 0.04, 0, 0, 0 ]",226,4,"{ ""4"" : { ""0"" : { ""TF_report"" : [ ""B"" ], ""text_explanation"" : [ "" this time I'm giving a B"" ], ""time"" : 15734 } } }",,1455557650577.0,1455557647094.0
"A5EU1AQJNC7F2","3VP0C6EFSGW3JHGA56BDUR21IL5M6N",,227,2,,,1455557737122.0,1455557746658.0
"A3F8G26PENQ6EO","3ERMJ6L4DYSMNHUFOGG5052XDWPM7M","[ 0, 0, 0, 0.04, 0, 0, 0, 0 ]",229,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""A"" ], ""text_explanation"" : [ "" He should choose A because there us a higher probably that the student will get a B. it is better for Sam to take a risk  and Hope that Nicole decides to give the student a B as well While Alice gives the student an A. That way he won't have to pay the dollar and receive a 50 cents bonus instead."" ], ""time"" : 145039 } } }",,1455557715305.0,1455557805043.0
"A27GZN1JOOIAUW","333U7HK6I9FC3IP4CW6ZK5KCVDYDJ3",,232,3,,,1455558015908.0,1455558043461.0
"A2DPKKEEW2I6QK","3ZQIG0FLQEGK3JPPAGP8FHKRXGAWVF","[ 0, 0.04, 0, 0, 0, 0, 0, 0 ]",231,1,"{ ""1"" : { ""0"" : { ""TF_report"" : [ ""A"" ], ""text_explanation"" : [ "" i think the logical answer would be A because it seems like the most likely and reasonable choice"" ], ""time"" : 32475 } } }",,1455558018916.0,1455558011330.0
"A2E72ZI1VESTMR","3R6BYFZZP7CAWM8PK6GQZEVCIOTFX4","[ 0, 0, 0, 0, 0.04, 0, 0, 0 ]",228,4,"{ ""4"" : { ""0"" : { ""TF_report"" : [ ""B"" ], ""text_explanation"" : [ "" There is a 90% chance that Lisa will give a B.  That means that an A grade needs to give a bonus of at least 9 times larger to give a larger reward on average.  But the reward for a is smaller than that since 20% of the grades will be an A.  Therefore choosing B gives a larger average reward"" ], ""time"" : 348217 } } }",,1455557713684.0,1455557769175.0
"A1D9FOXZ0UT0L2","3VP0C6EFSGW3JHGA56BDUR21IL5M6N","[ 0, 0, 0, 0, 0, 0, 0.04, 0 ]",230,6,"{ ""6"" : { ""0"" : { ""TF_report"" : [ ""B"" ], ""text_explanation"" : [ ""BECAUSE PARTNERS OF OTHER GRADERS WILL GET B WITH 90% CHANCE"" ], ""time"" : 271602 } } }",,1455557827262.0,1455557854941.0
"A29X1A8AF3TUQP","3ZPBJO59KP1GCCUEOW3E8S4XILVDHZ","[ 0, 0, 0, 0, 0.04, 0, 0, 0 ]",233,4,"{ ""4"" : { ""0"" : { ""TF_report"" : [ ""B"" ], ""text_explanation"" : [ "" If Lisa give b grade and the chance is 90%,, Sam thought that If he also gives the same grade, He may get the high bonus.Both should give the same grade then only sam get the maximum reward"" ], ""time"" : 303604 } } }",,1455558952844.0,1455558883457.0
"A1U6A617Q95MTZ","3MD9PLUKKIEBP9LLJCNO44KWSFCZNR",,234,3,,,1455559244880.0,1455559279871.0
